26,49,340,65
183,389,445,402
52,300,157,313
39,392,130,408
26,379,471,391
26,309,484,326
26,353,484,368
26,66,144,81
26,139,353,152
52,415,196,427
26,228,314,239
26,154,130,170
26,331,484,344
261,87,314,99
235,176,340,188
39,665,117,680
26,192,130,206
39,87,91,99
26,343,248,355
26,213,130,225
26,365,235,380
222,192,392,207
222,212,392,225
52,271,353,286
261,668,301,677
261,112,301,123
261,629,301,638
157,34,327,50
13,260,484,275
26,586,117,598
26,625,117,638
13,239,471,252
52,463,327,475
261,588,301,597
222,156,301,172
13,549,183,563
13,422,52,436
301,548,432,559
13,285,484,298
13,401,484,416
13,126,117,139
